epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1140.69,1.3809,0.77674,1.17408,0.64024,0.3278,0.36475,0.17056,1.75383,inf,1.30797,0.000627292,0.000627292,0.000627292
65,1154.95,1.34719,0.76185,1.16167,0.62587,0.34292,0.3632,0.16276,1.80997,inf,1.35201,0.000610789,0.000610789,0.000610789
66,1169.72,1.35721,0.76481,1.16831,0.61649,0.34141,0.36084,0.15652,1.80916,inf,1.3438,0.000594286,0.000594286,0.000594286
67,1180.73,1.33254,0.75103,1.15901,0.6508,0.341,0.37609,0.17917,1.75692,inf,1.30592,0.000577782,0.000577782,0.000577782
68,1197.12,1.34657,0.74866,1.14153,0.6277,0.33376,0.36568,0.1667,1.79726,inf,1.32617,0.000561279,0.000561279,0.000561279
69,1221.46,1.30826,0.74426,1.14741,0.64951,0.33343,0.37478,0.18347,1.73885,inf,1.29634,0.000544776,0.000544776,0.000544776
70,1232.78,1.35076,0.76196,1.16472,0.64679,0.33351,0.36716,0.17152,1.74286,inf,1.30672,0.000528272,0.000528272,0.000528272
71,1262.14,1.34644,0.74859,1.15215,0.63878,0.34292,0.37248,0.18093,1.70875,inf,1.29093,0.000511769,0.000511769,0.000511769
72,1291.58,1.32372,0.74563,1.14427,0.61965,0.34292,0.37504,0.18414,1.70799,inf,1.28272,0.000495266,0.000495266,0.000495266
73,1301.76,1.29138,0.72607,1.13055,0.64144,0.32517,0.36202,0.17206,1.74765,inf,1.30122,0.000478762,0.000478762,0.000478762
74,1319.87,1.28275,0.72374,1.13983,0.64896,0.33026,0.36089,0.17719,1.69368,inf,1.28243,0.000462259,0.000462259,0.000462259
75,1330.22,1.30114,0.72411,1.12831,0.63868,0.34224,0.37055,0.18065,1.69403,inf,1.27704,0.000445756,0.000445756,0.000445756
76,1350.09,1.30811,0.72794,1.14311,0.63961,0.32365,0.36045,0.16133,1.79426,inf,1.32042,0.000429253,0.000429253,0.000429253
77,1362.54,1.34176,0.74803,1.16251,0.62353,0.33411,0.36397,0.18331,1.6784,inf,1.26962,0.000412749,0.000412749,0.000412749
78,1372.75,1.29475,0.72495,1.13232,0.63995,0.33687,0.37111,0.1797,1.70383,inf,1.29156,0.000396246,0.000396246,0.000396246
79,1382.96,1.27954,0.71561,1.13061,0.64619,0.33508,0.37686,0.1875,1.69161,inf,1.28635,0.000379743,0.000379743,0.000379743
80,1396.54,1.2817,0.71194,1.12498,0.64417,0.3347,0.37673,0.18479,1.70189,inf,1.28141,0.000363239,0.000363239,0.000363239
81,1406.75,1.29318,0.71614,1.13697,0.6376,0.33398,0.37048,0.18039,1.70233,inf,1.28918,0.000346736,0.000346736,0.000346736
82,1417.29,1.2809,0.71441,1.1193,0.64224,0.34403,0.37984,0.19328,1.64154,inf,1.26005,0.000330233,0.000330233,0.000330233
83,1434.82,1.25991,0.70888,1.12613,0.63388,0.34345,0.37684,0.19237,1.64832,inf,1.25802,0.000313729,0.000313729,0.000313729
84,1461.3,1.26615,0.7067,1.12482,0.62925,0.34534,0.37243,0.18816,1.67842,inf,1.27487,0.000297226,0.000297226,0.000297226
85,1472.09,1.29802,0.71061,1.13019,0.64266,0.33494,0.36818,0.17447,1.72588,inf,1.29062,0.000280723,0.000280723,0.000280723
86,1486.53,1.24999,0.69228,1.11431,0.62296,0.32299,0.35853,0.16605,1.74312,inf,1.30319,0.00026422,0.00026422,0.00026422
87,1515.78,1.28304,0.71414,1.1384,0.63124,0.33486,0.36431,0.17741,1.68212,inf,1.27771,0.000247716,0.000247716,0.000247716
88,1547.3,1.23107,0.68245,1.10842,0.62817,0.33769,0.36865,0.17621,1.72756,inf,1.30125,0.000231213,0.000231213,0.000231213
89,1613.65,1.23337,0.6846,1.10916,0.62899,0.32985,0.36235,0.1773,1.68364,inf,1.27647,0.00021471,0.00021471,0.00021471
90,1624.8,1.2501,0.69276,1.12488,0.63803,0.33778,0.36876,0.18379,1.6603,inf,1.26345,0.000198206,0.000198206,0.000198206
91,1645.81,1.23281,0.67016,1.11837,0.63046,0.34554,0.37381,0.18882,1.65513,inf,1.26753,0.000181703,0.000181703,0.000181703
92,1655.33,1.25413,0.6746,1.12174,0.62898,0.34167,0.36729,0.17682,1.69752,inf,1.28474,0.0001652,0.0001652,0.0001652
93,1665.39,1.23525,0.67006,1.12137,0.62652,0.34127,0.36672,0.1794,1.68183,inf,1.28018,0.000148696,0.000148696,0.000148696
94,1674.89,1.20987,0.66323,1.11899,0.64637,0.34182,0.37215,0.18527,1.65899,inf,1.26551,0.000132193,0.000132193,0.000132193
95,1684.18,1.20985,0.66355,1.11197,0.64256,0.33673,0.37049,0.18526,1.65952,inf,1.26286,0.00011569,0.00011569,0.00011569
96,1693.39,1.20249,0.65045,1.10632,0.64422,0.33824,0.37259,0.18665,1.65396,inf,1.26327,9.91865e-05,9.91865e-05,9.91865e-05
97,1702.63,1.20518,0.65537,1.10888,0.63447,0.33494,0.36518,0.18074,1.6649,inf,1.26572,8.26832e-05,8.26832e-05,8.26832e-05
98,1711.97,1.21135,0.66314,1.11563,0.62818,0.3348,0.36207,0.17936,1.65544,inf,1.26166,6.61799e-05,6.61799e-05,6.61799e-05
99,1721.23,1.19911,0.65395,1.09799,0.6375,0.33439,0.36474,0.18121,1.65388,inf,1.26048,4.96766e-05,4.96766e-05,4.96766e-05
100,1730.7,1.19561,0.65183,1.10095,0.63975,0.33836,0.36649,0.18292,1.6538,inf,1.26172,3.31733e-05,3.31733e-05,3.31733e-05
